SNo;Name;Symbol;Date;High;Low;Open;Close;Volume;Marketcap;Rank
8641;Binance Coin;BNB;9/10/2020;28.54;27.53;27.74;28.45;465984452.00;4107649100;4
8642;Binance Coin;BNB;10/10/2020;29.22;28.16;28.44;28.31;426434526.00;4088508780;4
8643;Binance Coin;BNB;11/10/2020;28.74;27.96;28.38;28.56;408482939.00;4123613065;4
8644;Binance Coin;BNB;12/10/2020;31.08;28.49;28.55;30.71;718406691.00;4435401470;4
8645;Binance Coin;BNB;13/10/2020;31.77;30.27;30.67;30.71;600050050.00;4434255414;4
8646;Binance Coin;BNB;14/10/2020;31.3;30.46;30.74;30.91;460297911.00;4463912580;4
8647;Binance Coin;BNB;15/10/2020;31.57;30.5;30.89;31.3;504135680.00;4519328173;4
8648;Binance Coin;BNB;16/10/2020;31.92;29.67;31.31;29.99;546849696.00;4331460193;4
8649;Binance Coin;BNB;17/10/2020;30.56;29.72;30.04;30.25;377026508.00;4368043546;4
8650;Binance Coin;BNB;18/10/2020;31;30.22;30.24;30.66;440840685.00;4427436309;4
8651;Binance Coin;BNB;19/10/2020;30.66;29.86;30.66;29.93;385913101.00;4321376045;4
8652;Binance Coin;BNB;20/10/2020;30.08;28.54;29.93;28.8;493774162.00;4159406132;4
8653;Binance Coin;BNB;21/10/2020;30.38;28.71;28.81;29.77;510855830.00;4299323300;4
8654;Binance Coin;BNB;22/10/2020;31.3;29.76;29.77;30.66;530907796.00;4427243882;4
8655;Binance Coin;BNB;23/10/2020;31.16;30.1;30.66;30.63;514504830.00;4423744907;4
8656;Binance Coin;BNB;24/10/2020;30.84;30.46;30.63;30.59;407454460.00;4417226481;4
8657;Binance Coin;BNB;25/10/2020;30.97;29.96;30.59;30.11;391997739.00;4347726477;4
8658;Binance Coin;BNB;26/10/2020;31.31;29.99;30.11;31.15;624224136.00;4498922939;4
8659;Binance Coin;BNB;27/10/2020;32.35;31;31.15;31.64;715978374.00;4568839011;4
8660;Binance Coin;BNB;28/10/2020;31.93;29.87;31.64;30.36;477279858.00;4384689479;4
8661;Binance Coin;BNB;29/10/2020;30.42;29.51;30.36;29.84;426303252.00;4309449684;4
8662;Binance Coin;BNB;30/10/2020;30.19;27.59;29.84;28.51;531974962.00;4116801767;4
8663;Binance Coin;BNB;31/10/2020;28.89;28.17;28.51;28.43;360596998.00;4105653935;4
8664;Binance Coin;BNB;1/11/2020;28.67;28.1;28.43;28.46;338657898.00;4110036786;4
8665;Binance Coin;BNB;2/11/2020;29.28;27.83;28.46;27.88;390864652.00;4026622517;4
8666;Binance Coin;BNB;3/11/2020;27.88;25.9;27.88;26.86;457901613.00;3878334077;4
8667;Binance Coin;BNB;4/11/2020;26.96;25.97;26.86;26.93;383972480.00;3889087338;4
8668;Binance Coin;BNB;5/11/2020;27.9;26.72;26.93;27.68;299236756.00;3996575588;4
8669;Binance Coin;BNB;6/11/2020;29.42;27.68;27.68;29.02;343104562.00;4190389442;4
8670;Binance Coin;BNB;7/11/2020;29.84;26.99;29.02;27.74;362934993.00;4005562956;4
8671;Binance Coin;BNB;8/11/2020;28.69;27.51;27.74;28.31;321186882.00;4087444400;4
8672;Binance Coin;BNB;9/11/2020;28.92;27.41;28.31;28.02;335957338.00;4045986040;4
8673;Binance Coin;BNB;10/11/2020;28.47;27.71;28.02;28.19;310738349.00;4071303515;4
8674;Binance Coin;BNB;11/11/2020;28.62;27.87;28.19;27.96;279645463.00;4037055489;4
8675;Binance Coin;BNB;12/11/2020;28.16;27.35;27.96;27.61;266092376.00;3987759263;4
8676;Binance Coin;BNB;13/11/2020;28.48;27.56;27.61;28.18;292737428.00;4069690555;4
8677;Binance Coin;BNB;14/11/2020;28.18;27.41;28.18;27.94;254114574.00;4034170650;4
8678;Binance Coin;BNB;15/11/2020;28.17;27.11;27.94;27.62;254946427.00;3988657963;4
8679;Binance Coin;BNB;16/11/2020;28.18;27.5;27.62;28.06;275039274.00;4052641542;4
8680;Binance Coin;BNB;17/11/2020;28.75;28.17;28.17;28.53;320321793.00;4120003069;4
8681;Binance Coin;BNB;18/11/2020;28.78;27.54;28.53;28.08;327690836.00;4054382129;4
8682;Binance Coin;BNB;19/11/2020;28.34;27.65;28.08;28.09;282317319.00;4056972965;4
8683;Binance Coin;BNB;20/11/2020;29.27;28.09;28.09;28.89;321436881.00;4172193980;4
8684;Binance Coin;BNB;21/11/2020;30.73;28.35;28.89;30.39;419204706.00;4388701800;4
8685;Binance Coin;BNB;22/11/2020;31.07;29.09;30.39;29.93;426289161.00;4321376636;4
8686;Binance Coin;BNB;23/11/2020;31.04;29.82;29.93;30.97;433686948.00;4471602512;4
8687;Binance Coin;BNB;24/11/2020;35.11;30.85;30.97;33.8;840230024.00;4881396848;4
8688;Binance Coin;BNB;25/11/2020;35.28;30.77;33.86;31.34;599500600.00;4526129072;4
8689;Binance Coin;BNB;26/11/2020;31.73;26.54;31.32;28.2;659590250.00;4072974928;4
8690;Binance Coin;BNB;27/11/2020;28.71;27.3;28.23;28.48;361093513.00;4112003794;4
8691;Binance Coin;BNB;28/11/2020;29.62;27.99;28.47;29.14;338275296.00;4208572006;4
8692;Binance Coin;BNB;29/11/2020;30.45;28.96;29.16;30.12;347773041.00;4349179641;4
8693;Binance Coin;BNB;30/11/2020;31.53;29.79;30.12;31.39;389608481.00;4533324240;4
8694;Binance Coin;BNB;1/12/2020;31.87;29.48;31.41;30.11;467818960.00;4347836463;4
8695;Binance Coin;BNB;2/12/2020;30.91;29.75;30.15;30.3;371441750.00;4375137745;4
8696;Binance Coin;BNB;3/12/2020;30.77;29.98;30.3;30.7;324897560.00;4433921194;4
8697;Binance Coin;BNB;4/12/2020;31.12;28.93;30.72;29.07;362626786.00;4198217551;4
8698;Binance Coin;BNB;5/12/2020;30;28.76;29.08;29.73;307895991.00;4293133190;4
8699;Binance Coin;BNB;6/12/2020;30.13;29.1;29.73;29.54;249993855.00;4265885903;4
8700;Binance Coin;BNB;7/12/2020;29.66;29.09;29.53;29.38;238972454.00;4242395534;4
8701;Binance Coin;BNB;8/12/2020;29.49;27.51;29.38;27.64;323672206.00;3990863862;4
8702;Binance Coin;BNB;9/12/2020;28.38;27;27.64;28.13;323390504.00;4062056065;4
8703;Binance Coin;BNB;10/12/2020;28.24;27.43;28.13;27.7;263890750.00;3999511565;4
8704;Binance Coin;BNB;11/12/2020;27.74;26.77;27.7;27.36;278060132.00;3951108419;4
8705;Binance Coin;BNB;12/12/2020;28.24;27.33;27.36;28.16;238973887.00;4067131459;4
8706;Binance Coin;BNB;13/12/2020;29.25;28.06;28.17;29.1;265728020.00;4202475239;4
8707;Binance Coin;BNB;14/12/2020;30.17;28.69;29.11;30.03;335453986.00;4336468154;4
8708;Binance Coin;BNB;15/12/2020;30.3;29.38;30.03;29.55;294288115.00;4266821620;4
